"actor_id","first_name","last_name","last_update"
94,Kenneth,Torn,2013-05-26 14:47:57
95,Daryl,Wahlberg,2013-05-26 14:47:57
96,Gene,Willis,2013-05-26 14:47:57
97,Meg,Hawke,2013-05-26 14:47:57
98,Chris,Bridges,2013-05-26 14:47:57
99,Jim,Mostel,2013-05-26 14:47:57
100,Spencer,Depp,2013-05-26 14:47:57
101,Susan,Davis,2013-05-26 14:47:57
102,Walter,Torn,2013-05-26 14:47:57
103,Matthew,Leigh,2013-05-26 14:47:57
104,Penelope,Cronyn,2013-05-26 14:47:57
105,Sidney,Crowe,2013-05-26 14:47:57
106,Groucho,Dunst,2013-05-26 14:47:57
107,Gina,Degeneres,2013-05-26 14:47:57
108,Warren,Nolte,2013-05-26 14:47:57
109,Sylvester,Dern,2013-05-26 14:47:57
110,Susan,Davis,2013-05-26 14:47:57
111,Cameron,Zellweger,2013-05-26 14:47:57
112,Russell,Bacall,2013-05-26 14:47:57
113,Morgan,Hopkins,2013-05-26 14:47:57
114,Morgan,Mcdormand,2013-05-26 14:47:57
115,Harrison,Bale,2013-05-26 14:47:57
116,Dan,Streep,2013-05-26 14:47:57
117,Renee,Tracy,2013-05-26 14:47:57
118,Cuba,Allen,2013-05-26 14:47:57
119,Warren,Jackman,2013-05-26 14:47:57
120,Penelope,Monroe,2013-05-26 14:47:57
121,Liza,Bergman,2013-05-26 14:47:57
122,Salma,Nolte,2013-05-26 14:47:57
123,Julianne,Dench,2013-05-26 14:47:57
124,Scarlett,Bening,2013-05-26 14:47:57
125,Albert,Nolte,2013-05-26 14:47:57
126,Frances,Tomei,2013-05-26 14:47:57
127,Kevin,Garland,2013-05-26 14:47:57
128,Cate,Mcqueen,2013-05-26 14:47:57
129,Daryl,Crawford,2013-05-26 14:47:57
130,Greta,Keitel,2013-05-26 14:47:57
131,Jane,Jackman,2013-05-26 14:47:57
132,Adam,Hopper,2013-05-26 14:47:57
133,Richard,Penn,2013-05-26 14:47:57
134,Gene,Hopkins,2013-05-26 14:47:57
135,Rita,Reynolds,2013-05-26 14:47:57
136,Ed,Mansfield,2013-05-26 14:47:57
137,Morgan,Williams,2013-05-26 14:47:57
138,Lucille,Dee,2013-05-26 14:47:57
139,Ewan,Gooding,2013-05-26 14:47:57
140,Whoopi,Hurt,2013-05-26 14:47:57
141,Cate,Harris,2013-05-26 14:47:57
142,Jada,Ryder,2013-05-26 14:47:57
144,Angela,Witherspoon,2013-05-26 14:47:57
145,Kim,Allen,2013-05-26 14:47:57
146,Albert,Johansson,2013-05-26 14:47:57
147,Fay,Winslet,2013-05-26 14:47:57
148,Emily,Dee,2013-05-26 14:47:57
149,Russell,Temple,2013-05-26 14:47:57
150,Jayne,Nolte,2013-05-26 14:47:57
151,Geoffrey,Heston,2013-05-26 14:47:57
152,Ben,Harris,2013-05-26 14:47:57
153,Minnie,Kilmer,2013-05-26 14:47:57
154,Meryl,Gibson,2013-05-26 14:47:57
155,Ian,Tandy,2013-05-26 14:47:57
156,Fay,Wood,2013-05-26 14:47:57
157,Greta,Malden,2013-05-26 14:47:57
158,Vivien,Basinger,2013-05-26 14:47:57
159,Laura,Brody,2013-05-26 14:47:57
160,Chris,Depp,2013-05-26 14:47:57
161,Harvey,Hope,2013-05-26 14:47:57
162,Oprah,Kilmer,2013-05-26 14:47:57
163,Christopher,West,2013-05-26 14:47:57
164,Humphrey,Willis,2013-05-26 14:47:57
165,Al,Garland,2013-05-26 14:47:57
166,Nick,Degeneres,2013-05-26 14:47:57
167,Laurence,Bullock,2013-05-26 14:47:57
168,Will,Wilson,2013-05-26 14:47:57
169,Kenneth,Hoffman,2013-05-26 14:47:57
170,Mena,Hopper,2013-05-26 14:47:57
171,Olympia,Pfeiffer,2013-05-26 14:47:57
172,Groucho,Williams,2013-05-26 14:47:57
173,Alan,Dreyfuss,2013-05-26 14:47:57
174,Michael,Bening,2013-05-26 14:47:57
175,William,Hackman,2013-05-26 14:47:57
176,Jon,Chase,2013-05-26 14:47:57
177,Gene,Mckellen,2013-05-26 14:47:57
178,Lisa,Monroe,2013-05-26 14:47:57
179,Ed,Guiness,2013-05-26 14:47:57
180,Jeff,Silverstone,2013-05-26 14:47:57
181,Matthew,Carrey,2013-05-26 14:47:57
182,Debbie,Akroyd,2013-05-26 14:47:57
183,Russell,Close,2013-05-26 14:47:57
184,Humphrey,Garland,2013-05-26 14:47:57
185,Michael,Bolger,2013-05-26 14:47:57
186,Julia,Zellweger,2013-05-26 14:47:57
187,Renee,Ball,2013-05-26 14:47:57
188,Rock,Dukakis,2013-05-26 14:47:57
189,Cuba,Birch,2013-05-26 14:47:57
190,Audrey,Bailey,2013-05-26 14:47:57
191,Gregory,Gooding,2013-05-26 14:47:57
192,John,Suvari,2013-05-26 14:47:57
193,Burt,Temple,2013-05-26 14:47:57
194,Meryl,Allen,2013-05-26 14:47:57
195,Jayne,Silverstone,2013-05-26 14:47:57
196,Bela,Walken,2013-05-26 14:47:57
197,Reese,West,2013-05-26 14:47:57
198,Mary,Keitel,2013-05-26 14:47:57
199,Julia,Fawcett,2013-05-26 14:47:57
200,Thora,Temple,2013-05-26 14:47:57
